route,beacon_index,lat,lon,is_endpoint
"97 St & N T2.gpx",59,40.79334295215922,-73.95548992284684,0
"97 St & N T2.gpx",60,40.79333272143555,-73.9555609973366,0
"97 St & N T2.gpx",61,40.79332513591986,-73.95563271493953,0
"97 St & N T2.gpx",62,40.793321315176804,-73.95577744739747,0
"97 St & N T2.gpx",63,40.79332775857922,-73.95592196140954,0
"97 St & N T2.gpx",64,40.793343244177976,-73.95621083628949,0
"97 St & N T2.gpx",65,40.79334387934712,-73.95628324557215,0
"97 St & N T2.gpx",66,40.793342088985185,-73.95635560445437,0
"97 St & N T2.gpx",67,40.79333608289353,-73.95642744283238,0
"97 St & N T2.gpx",68,40.79332518548909,-73.95649833186054,0
"97 St & N T2.gpx",69,40.793309193881306,-73.95656755173506,0
"97 St & N T2.gpx",70,40.793288666942864,-73.95663465067402,0
"97 St & N T2.gpx",71,40.79326125350611,-73.95669705417681,0
"97 St & N T2.gpx",72,40.79322927582628,-73.9567555862526,0
"97 St & N T2.gpx",73,40.7930315678302,-73.9570062454859,0
"97 St & N T2.gpx",74,40.792998411233526,-73.95706347191619,0
"97 St & N T2.gpx",75,40.79297356065017,-73.95712797707424,0
"97 St & N T2.gpx",76,40.792958120132376,-73.95719745940431,0
"97 St & N T2.gpx",77,40.79296732943178,-73.95726875462857,0
"97 St & N T2.gpx",78,40.79297981779495,-73.95733900179881,0
"97 St & N T2.gpx",79,40.793020084176405,-73.95738813580384,0
"97 St & N T2.gpx",80,40.79310599009644,-73.957478132482,0
"97 St & N T2.gpx",81,40.79312109769583,-73.95753887610297,0
"97 St & N T2.gpx",82,40.79311774743404,-73.9576110053523,0
"97 St & N T2.gpx",83,40.793121897212586,-73.957683211499,0
"97 St & N T2.gpx",84,40.793143009721085,-73.9577499391379,0
"97 St & N T2.gpx",85,40.79316777065903,-73.9578143232705,0
"97 St & N T2.gpx",86,40.79319657008898,-73.95787594065551,0
"97 St & N T2.gpx",87,40.79329317682636,-73.95821415486236,0
"97 St & N T2.gpx",88,40.79331334704415,-73.95835642674486,0
"97 St & N T2.gpx",89,40.79331672445372,-73.95842870330962,0
"97 St & N T2.gpx",90,40.79331738833245,-73.95857344101222,0
"97 St & N T2.gpx",91,40.793294887657304,-73.95893403794757,0
"97 St & N T2.gpx",92,40.79329981998368,-73.95907871952113,0
"97 St & N T2.gpx",93,40.79331810623617,-73.95922146241087,0
"97 St & N T2.gpx",94,40.79334188138633,-73.9593628105121,0
"97 St & N T2.gpx",95,40.793368666411,-73.95950325091171,0
"97 St & N T2.gpx",96,40.79342244590172,-73.95950644448384,0
"97 St & N T2.gpx",97,40.793475913060554,-73.9595195844055,0
"97 St & N T2.gpx",98,40.793633881672804,-73.95957988536826,0
"97 St & N T2.gpx",99,40.79368717520109,-73.95959686902012,0
"97 St & N T2.gpx",100,40.79416131067059,-73.959773,0
"97 St & N T2.gpx",101,40.79421597084669,-73.95976962829862,0
"97 St & N T2.gpx",102,40.79427035109187,-73.95976044721826,0
"97 St & N T2.gpx",103,40.79437798156134,-73.95973284959621,0
"97 St & N T2.gpx",104,40.7944325338862,-73.95972904106817,0
"97 St & N T2.gpx",105,40.79448683677205,-73.95973855752156,0
"97 St & N T2.gpx",106,40.79453878756919,-73.95975894990775,0
"97 St & N T2.gpx",107,40.79461675933531,-73.95965716254833,0
"97 St & N T2.gpx",108,40.79466381475311,-73.95962045683126,0
"97 St & N T2.gpx",109,40.794715452445026,-73.95959824435079,0
"97 St & N T2.gpx",110,40.79476770486192,-73.95961362017805,0
"97 St & N T2.gpx",111,40.794866422904974,-73.95967662488823,0
"97 St & N T2.gpx",112,40.79490093050884,-73.95972789098403,0
"97 St & N T2.gpx",113,40.79495008482053,-73.95985734458338,0
